// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43FA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
44273	0.123118	0.021711	9.874388	-0.001113	0.005371	0.001318	1.000000	-0.000287	0.000067	0.000287	1.000000	-0.000568	-0.000067	0.000568	1.000000
44274	0.112955	0.047521	9.895402	0.004950	0.003981	0.002373	1.000000	-0.000305	0.000056	0.000305	1.000000	-0.000535	-0.000056	0.000535	1.000000
44275	0.098374	0.056820	9.877754	-0.000772	0.003613	-0.000279	1.000000	-0.000320	0.000049	0.000320	1.000000	-0.000557	-0.000049	0.000557	1.000000
44276	0.098081	0.057011	9.877756	0.004657	0.002334	0.002203	1.000000	-0.000316	0.000055	0.000316	1.000000	-0.000525	-0.000055	0.000525	1.000000
44277	0.097885	0.057254	9.877757	0.000293	0.001646	0.000171	1.000000	-0.000327	0.000068	0.000327	1.000000	-0.000537	-0.000068	0.000537	1.000000
44278	0.106052	0.079747	9.882614	0.000926	0.001534	-0.001255	1.000000	-0.000348	0.000083	0.000348	1.000000	-0.000542	-0.000082	0.000542	1.000000
44279	0.109638	0.085721	9.848813	0.000585	0.003293	0.000341	1.000000	-0.000358	0.000079	0.000358	1.000000	-0.000551	-0.000079	0.000551	1.000000
44280	0.075244	0.054824	9.927715	0.002235	0.004620	0.001133	1.000000	-0.000395	0.000062	0.000396	1.000000	-0.000545	-0.000062	0.000545	1.000000
44281	0.102532	0.026289	9.890564	0.003502	0.004396	-0.001719	1.000000	-0.000425	0.000047	0.000425	1.000000	-0.000524	-0.000047	0.000524	1.000000
44282	0.106077	0.032441	9.856763	0.001650	0.001327	0.000791	1.000000	-0.000395	0.000065	0.000395	1.000000	-0.000521	-0.000064	0.000521	1.000000
44283	0.110392	0.049287	9.895423	0.004657	0.002335	0.002203	1.000000	-0.000385	0.000071	0.000385	1.000000	-0.000489	-0.000071	0.000489	1.000000
44284	0.089983	0.090273	9.864965	0.002958	0.004413	0.003179	1.000000	-0.000380	0.000056	0.000380	1.000000	-0.000474	-0.000056	0.000474	1.000000
44285	0.119365	0.024106	9.874428	-0.001406	0.003725	0.001146	1.000000	-0.000381	0.000048	0.000381	1.000000	-0.000503	-0.000048	0.000503	1.000000
44286	0.071282	0.093458	9.881117	-0.000341	0.001759	0.001596	1.000000	-0.000333	0.000061	0.000333	1.000000	-0.000519	-0.000061	0.000519	1.000000
44287	0.118774	0.024078	9.874435	0.001601	0.004733	0.002558	1.000000	-0.000320	0.000043	0.000320	1.000000	-0.000518	-0.000043	0.000518	1.000000
44288	0.094565	0.058925	9.877779	0.001016	0.001439	0.002217	1.000000	-0.000337	0.000056	0.000337	1.000000	-0.000523	-0.000056	0.000523	1.000000
44289	0.094262	0.059052	9.877781	0.001601	0.004733	0.002558	1.000000	-0.000324	0.000039	0.000324	1.000000	-0.000521	-0.000039	0.000521	1.000000
44290	0.108290	0.049957	9.895443	-0.001650	-0.001327	-0.000791	1.000000	-0.000351	0.000081	0.000351	1.000000	-0.000552	-0.000081	0.000552	1.000000
44291	0.111966	0.055849	9.861641	0.001691	0.004638	0.006030	1.000000	-0.000303	0.000065	0.000303	1.000000	-0.000551	-0.000065	0.000551	1.000000
44292	0.089071	0.042686	9.839129	0.001943	0.002974	0.000962	1.000000	-0.000350	0.000064	0.000350	1.000000	-0.000550	-0.000063	0.000550	1.000000
44293	0.107524	0.050243	9.895450	0.000293	0.001647	0.000171	1.000000	-0.000361	0.000077	0.000361	1.000000	-0.000561	-0.000077	0.000561	1.000000
44294	0.107312	0.050419	9.895451	0.003300	0.002654	0.001583	1.000000	-0.000425	0.000078	0.000425	1.000000	-0.000546	-0.000078	0.000546	1.000000
44295	0.115345	0.073041	9.900308	0.000585	0.003293	0.000341	1.000000	-0.000434	0.000075	0.000434	1.000000	-0.000555	-0.000075	0.000555	1.000000
44296	0.106063	0.040051	9.822995	0.001309	0.003086	0.002388	1.000000	-0.000435	0.000073	0.000435	1.000000	-0.000559	-0.000073	0.000559	1.000000
44297	0.092132	0.059968	9.877796	0.002235	0.004621	0.001133	1.000000	-0.000436	0.000057	0.000436	1.000000	-0.000551	-0.000056	0.000551	1.000000
44298	0.109843	0.056822	9.861660	-0.001064	0.001966	-0.000450	1.000000	-0.000444	0.000065	0.000444	1.000000	-0.000575	-0.000065	0.000575	1.000000
44299	0.123688	0.047689	9.879328	0.000244	0.005053	0.001938	1.000000	-0.000437	0.000044	0.000437	1.000000	-0.000588	-0.000044	0.000588	1.000000
44300	0.078991	0.031856	9.906751	0.003641	0.000895	-0.000013	1.000000	-0.000449	0.000066	0.000449	1.000000	-0.000567	-0.000065	0.000568	1.000000
44301	0.094700	0.066531	9.844001	0.005876	0.005516	0.001120	1.000000	-0.000449	0.000040	0.000449	1.000000	-0.000523	-0.000040	0.000523	1.000000
44302	0.122740	0.048720	9.879335	0.001650	0.001327	0.000792	1.000000	-0.000478	0.000054	0.000478	1.000000	-0.000521	-0.000054	0.000521	1.000000
44303	0.104473	0.052035	9.895473	0.000585	0.003294	0.000341	1.000000	-0.000487	0.000051	0.000487	1.000000	-0.000530	-0.000051	0.000530	1.000000
44304	0.104240	0.052113	9.895475	0.001016	0.001440	0.002217	1.000000	-0.000464	0.000068	0.000465	1.000000	-0.000535	-0.000067	0.000535	1.000000
44305	0.103985	0.052092	9.895478	-0.001406	0.003726	0.001146	1.000000	-0.000466	0.000060	0.000466	1.000000	-0.000564	-0.000060	0.000564	1.000000
44306	0.107459	0.058149	9.861678	0.004949	0.003982	0.002375	1.000000	-0.000464	0.000050	0.000464	1.000000	-0.000531	-0.000049	0.000531	1.000000
44307	0.103332	0.052556	9.895482	0.000927	0.001534	-0.001255	1.000000	-0.000490	0.000064	0.000490	1.000000	-0.000536	-0.000064	0.000536	1.000000
44308	0.103077	0.052564	9.895485	-0.000771	0.003613	-0.000280	1.000000	-0.000487	0.000058	0.000487	1.000000	-0.000558	-0.000057	0.000558	1.000000
44309	0.106543	0.058585	9.861686	0.003592	0.004302	0.001754	1.000000	-0.000481	0.000045	0.000481	1.000000	-0.000537	-0.000044	0.000537	1.000000
44310	0.106191	0.058889	9.861688	0.002577	0.002861	-0.000463	1.000000	-0.000504	0.000044	0.000504	1.000000	-0.000525	-0.000044	0.000525	1.000000
44311	0.105887	0.059045	9.861690	0.000586	0.003294	0.000341	1.000000	-0.000513	0.000041	0.000513	1.000000	-0.000534	-0.000040	0.000534	1.000000
44312	0.095776	0.084791	9.882677	0.001601	0.004734	0.002559	1.000000	-0.000488	0.000024	0.000488	1.000000	-0.000533	-0.000024	0.000533	1.000000
44313	0.101229	0.053345	9.895500	-0.000049	0.003407	0.001767	1.000000	-0.000483	0.000020	0.000483	1.000000	-0.000548	-0.000019	0.000548	1.000000
44314	0.086723	0.062492	9.877829	0.001220	0.003181	-0.001084	1.000000	-0.000529	0.000016	0.000529	1.000000	-0.000551	-0.000016	0.000551	1.000000
44315	0.104383	0.059424	9.861704	0.001689	0.004640	0.006031	1.000000	-0.000481	-0.000000	0.000481	1.000000	-0.000550	0.000000	0.000550	1.000000
44316	0.122720	0.067013	9.918037	0.000927	0.001534	-0.001255	1.000000	-0.000514	0.000013	0.000514	1.000000	-0.000556	-0.000013	0.000556	1.000000
44317	0.081966	0.057094	9.911636	0.003387	0.002561	0.005056	1.000000	-0.000476	0.000017	0.000476	1.000000	-0.000537	-0.000017	0.000537	1.000000
