// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44058
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
29090	0.012517	-0.006286	9.758960	-0.005600	0.002573	0.006745
29091	0.033904	-0.015230	9.716051	-0.000474	0.002581	0.006117
29092	0.046392	-0.033546	9.726162	-0.002351	0.003499	0.005574
29093	0.040197	0.004402	9.743299	-0.003089	0.003794	0.008706
29094	0.018252	0.016083	9.674379	-0.003354	0.001508	0.005721
29095	0.019930	0.001984	9.705943	-0.001649	0.004331	0.008903
29096	0.001831	-0.013954	9.700149	-0.003022	0.002488	0.010617
29097	0.026263	0.021543	9.733194	-0.001981	0.003352	0.004007
29098	0.024061	0.035105	9.701632	-0.004093	0.001804	0.008852
29099	0.036609	0.016660	9.711744	-0.001213	0.002877	0.009248
29100	0.020425	-0.013189	9.737509	-0.004595	0.004565	0.006596
29101	0.035922	0.016038	9.711747	-0.002283	0.002193	0.007484
29102	0.024843	0.020049	9.733201	-0.004159	0.003111	0.006941
29103	0.006707	0.004066	9.727400	-0.001648	0.004331	0.008903
29104	0.017318	-0.000483	9.705949	-0.002918	0.000055	0.006065
29105	0.032784	0.028653	9.680193	-0.005836	0.007623	0.007471
29106	0.029337	-0.019405	9.716058	-0.000341	-0.000033	0.009937
29107	0.023318	0.018586	9.733208	-0.004225	0.004419	0.005029
29108	0.017930	-0.015711	9.737510	-0.004159	0.003112	0.006940
29109	0.059059	-0.022931	9.731975	-0.003723	0.001657	0.007285
29110	0.026187	-0.006925	9.684501	-0.003959	0.006705	0.008013
29111	0.036556	-0.011487	9.663052	-0.000843	0.002729	0.007681
29112	0.003837	0.001342	9.727402	-0.002283	0.002193	0.007483
29113	0.027077	-0.021542	9.716060	-0.004963	0.004715	0.008160
29114	0.027851	0.036342	9.760481	-0.001979	0.003353	0.004006
29115	0.029503	0.025726	9.680212	-0.001212	0.002876	0.009246
29116	0.031104	0.011655	9.711770	-0.002718	0.003648	0.007137
29117	0.032768	-0.002521	9.743327	-0.003354	0.001511	0.005718
29118	-0.003794	0.037927	9.744562	-0.002718	0.003648	0.007137
29119	0.017479	0.029057	9.701666	-0.001647	0.004331	0.008901
29120	0.010026	0.008748	9.674400	-0.004658	0.005875	0.004683
29121	0.042138	-0.007991	9.721884	-0.001848	0.000739	0.007827
29122	0.013353	-0.019698	9.737510	-0.005599	0.002579	0.006739
29123	0.030879	-0.004362	9.743333	-0.001212	0.002876	0.009245
29124	0.028695	0.009280	9.711780	-0.003788	0.002966	0.005372
29125	0.021455	-0.010943	9.684509	-0.000842	0.002728	0.007680
29126	0.012202	-0.020694	9.737509	-0.003087	0.003797	0.008701
29127	0.018855	-0.001125	9.764783	-0.005598	0.002580	0.006738
29128	0.004690	-0.041493	9.710233	-0.002283	0.002194	0.007481
29129	0.031146	-0.016514	9.663064	-0.002717	0.003649	0.007136
29130	0.026888	0.007468	9.711787	-0.004222	0.004422	0.005027
29131	0.017593	-0.002344	9.764785	-0.000842	0.002728	0.007679
29132	0.028142	-0.006920	9.743340	-0.004157	0.003115	0.006936
