// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43F80
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
37491	9.758781	0.191596	-0.253253	0.004088	0.000158	0.003679
37492	9.722775	0.165792	-0.212734	0.003247	-0.001340	0.009744
37493	9.851098	0.168919	-0.302076	0.003247	-0.001340	0.009744
37494	9.835871	0.193280	-0.256316	0.005719	-0.004420	0.003968
37495	9.848528	0.216724	-0.304066	0.004528	0.000137	0.000658
37496	9.761936	0.261596	-0.279498	0.004047	0.001700	0.003655
37497	9.834604	0.216652	-0.257186	0.005197	-0.001316	0.006943
37498	9.805563	0.190506	-0.240130	0.003688	-0.001361	0.006723
37499	9.808136	0.141163	-0.238632	0.005337	0.001756	0.005385
37500	9.758863	0.186570	-0.253840	0.004047	0.001700	0.003655
37501	9.782236	0.187578	-0.246816	0.002358	0.000124	0.004970
37502	9.812581	0.188011	-0.263336	0.003467	-0.001350	0.008234
37503	9.806996	0.112006	-0.314962	0.005197	-0.001315	0.006943
37504	9.838510	0.139404	-0.255102	0.005597	0.000204	0.003898
37505	9.806909	0.162236	-0.239460	0.003908	-0.001372	0.005213
37506	9.782282	0.184728	-0.247141	0.004048	0.001700	0.003655
37507	9.753231	0.158536	-0.229922	0.004536	-0.001281	0.011474
37508	9.868876	0.137905	-0.271731	0.003688	-0.001360	0.006723
37509	9.808210	0.135369	-0.238959	0.007587	-0.001316	0.001120
37510	9.812652	0.183510	-0.263855	0.002539	0.001654	0.003436
37511	9.797534	0.156916	-0.293350	0.003868	0.000170	0.005189
37512	9.813937	0.157966	-0.263078	0.003247	-0.001337	0.009744
37513	9.815208	0.132779	-0.262458	0.003687	-0.001360	0.006723
37514	9.798751	0.181882	-0.217252	0.004528	0.000135	0.000658
37515	9.796240	0.230402	-0.218614	0.004008	0.003241	0.003631
37516	9.774151	0.204034	-0.224633	0.001918	0.000148	0.007991
37517	9.804499	0.204271	-0.241228	0.005016	-0.002844	0.008477
37518	9.827875	0.204997	-0.234429	0.005377	0.000215	0.005408
37519	9.818458	0.202382	-0.288225	0.002618	-0.001428	0.003483
37520	9.810242	0.226706	-0.265663	0.002358	0.000125	0.004970
37521	9.811505	0.201829	-0.264891	0.003868	0.000170	0.005189
37522	9.807048	0.152937	-0.239878	0.005338	0.001756	0.005384
37523	9.815277	0.127609	-0.262420	0.000629	0.000093	0.006261
37524	9.815285	0.127054	-0.262411	0.002358	0.000125	0.004970
37525	9.774280	0.147842	-0.300591	0.005897	-0.002892	0.002436
37526	9.816532	0.101774	-0.261997	0.003467	-0.001347	0.008234
37527	9.816539	0.101119	-0.261984	0.002319	0.001667	0.004945
37528	9.823516	0.100216	-0.285290	0.005377	0.000215	0.005408
37529	9.790705	0.147474	-0.270364	0.004088	0.000158	0.003678
37530	9.782502	0.171725	-0.247808	0.002177	-0.001403	0.006505
37531	9.797668	0.197336	-0.218313	0.010126	0.000336	0.004555
37532	9.836219	0.173084	-0.257377	0.005378	0.000215	0.005408
37533	9.803426	0.220231	-0.242388	0.000590	0.001635	0.006236
37534	9.795235	0.244417	-0.219763	0.005416	-0.001326	0.005433
37535	9.809186	0.243095	-0.266621	0.003868	0.000171	0.005189
37536	9.840765	0.219137	-0.282366	0.003687	-0.001358	0.006724
37537	9.836270	0.170137	-0.257400	0.002099	0.001680	0.006455
37538	9.829314	0.170005	-0.233843	0.007068	0.001788	0.004092
37539	9.782590	0.166748	-0.247707	0.002397	-0.001415	0.004994
37540	9.807189	0.143283	-0.240053	0.002358	0.000126	0.004970
37541	9.822362	0.117677	-0.285973	0.004049	0.001699	0.003654
37542	9.829338	0.116752	-0.309356	0.003686	-0.001358	0.006724
37543	9.822371	0.116646	-0.286102	0.002617	-0.001427	0.003484
37544	9.790819	0.139606	-0.270421	0.002320	0.001668	0.004945
37545	9.819943	0.164372	-0.287655	0.005196	-0.001314	0.006943
37546	9.812982	0.164159	-0.264323	0.005378	0.000215	0.005408
37547	9.828170	0.189899	-0.234773	0.001069	0.000070	0.003240
37548	9.782662	0.162313	-0.247847	0.005378	0.000215	0.005408
37549	9.832727	0.237189	-0.259807	0.003686	-0.001357	0.006724
37550	9.811802	0.186464	-0.265150	0.003830	0.001712	0.005164
37551	9.819997	0.161086	-0.287665	0.003648	0.000184	0.006699
37552	9.811827	0.185279	-0.265053	0.003868	0.000171	0.005189
37553	9.811836	0.184833	-0.265045	0.004088	0.000158	0.003678
37554	9.795489	0.233955	-0.219839	0.005378	0.000215	0.005408
37555	9.804889	0.184067	-0.241629	0.000188	0.000123	0.009282
37556	9.813077	0.158460	-0.264288	0.006705	-0.001270	0.007163
37557	9.836453	0.159296	-0.257340	0.004050	0.001699	0.003653
37558	9.804924	0.182279	-0.241597	0.002359	0.000127	0.004970
37559	9.811902	0.181260	-0.265056	0.005195	-0.001313	0.006943
37560	9.797910	0.130104	-0.293922	0.003906	-0.001370	0.005214
37561	9.814315	0.131301	-0.263654	0.005158	0.000228	0.006918
37562	9.837694	0.132161	-0.256555	0.002503	0.003197	0.003408
37563	9.782805	0.153708	-0.247676	0.003648	0.000185	0.006699
37564	9.806175	0.154561	-0.240956	0.004202	-0.004466	0.003755
37565	9.813148	0.153519	-0.264564	0.004938	0.000242	0.008428
37566	9.806193	0.153214	-0.241081	0.002101	0.001683	0.006454
37567	9.795583	0.174764	-0.295603	0.003906	-0.001370	0.005214
37568	9.813177	0.151752	-0.264530	0.004088	0.000157	0.003678
37569	9.805028	0.176117	-0.241936	0.003868	0.000171	0.005189
37570	9.810822	0.199532	-0.266056	0.003831	0.001713	0.005163
37571	9.796899	0.199735	-0.219256	0.004975	-0.001299	0.008454
37572	9.817814	0.197889	-0.289505	0.002799	0.000100	0.001949
37573	9.803883	0.198253	-0.242859	0.005012	-0.002840	0.008480
37574	9.787494	0.195791	-0.273253	0.000812	0.001627	0.004725
37575	9.834244	0.198024	-0.259300	0.003868	0.000171	0.005188
37576	9.819031	0.171397	-0.288804	0.004088	0.000157	0.003678
37577	9.812070	0.171399	-0.265401	0.003868	0.000171	0.005188
37578	9.759550	0.144151	-0.255046	0.005158	0.000229	0.006918
37579	9.836635	0.147037	-0.257698	0.001956	-0.001384	0.008016
37580	9.798045	0.118829	-0.294203	0.005378	0.000214	0.005407
37581	9.821421	0.119639	-0.287254	0.005378	0.000214	0.005407
37582	9.789917	0.142737	-0.271682	0.002836	-0.001441	0.001975
37583	9.805152	0.168634	-0.242245	0.004089	0.000157	0.003678
37584	9.805159	0.168102	-0.242309	0.005195	-0.001312	0.006944
37585	9.820266	0.142291	-0.288413	0.002616	-0.001427	0.003485
37586	9.797037	0.192054	-0.219950	0.004089	0.000157	0.003678
37587	9.801682	0.239968	-0.244992	0.004089	0.000157	0.003678
37588	9.793424	0.212715	-0.297876	0.004938	0.000244	0.008428
37589	9.802875	0.214326	-0.244144	0.002359	0.000129	0.004969
37590	9.833219	0.214613	-0.260823	0.005268	-0.004395	0.006996
37591	9.816822	0.212188	-0.291367	0.003869	0.000172	0.005188
37592	9.804059	0.188231	-0.243737	0.003869	0.000172	0.005188
37593	9.787664	0.185823	-0.274128	0.003685	-0.001354	0.006725
37594	9.835570	0.163397	-0.259570	0.003465	-0.001340	0.008235
37595	9.813361	0.137148	-0.265655	0.005782	0.001726	0.002360
37596	9.813364	0.136687	-0.265794	0.003758	-0.004437	0.006778
37597	9.795812	0.158600	-0.297096	0.000593	0.001644	0.006234
37598	9.820342	0.134974	-0.289316	0.006924	-0.001285	0.005652
37599	9.820349	0.134339	-0.289376	0.005158	0.000230	0.006917
37600	9.805283	0.159050	-0.243413	0.005378	0.000214	0.005407
37601	9.806436	0.134147	-0.242559	0.003869	0.000172	0.005188
37602	9.786609	0.204868	-0.275400	0.002139	0.000145	0.006479
37603	9.805313	0.157262	-0.243377	0.006668	0.000272	0.007136
37604	9.804180	0.181003	-0.244359	0.005451	-0.002868	0.005460
37605	9.811155	0.180060	-0.267668	0.003981	0.004781	0.003597
37606	9.810026	0.204063	-0.268431	0.004161	-0.002925	0.003731
37607	9.780832	0.178400	-0.251262	0.003869	0.000173	0.005188
37608	9.833414	0.204438	-0.261636	0.002359	0.000131	0.004969
37609	9.786685	0.201200	-0.275411	0.003613	0.001729	0.006671
37610	9.834571	0.178915	-0.260767	0.000921	-0.002994	0.004804
37611	9.810078	0.201304	-0.268612	0.004903	0.001787	0.008401
37612	9.788979	0.150418	-0.273901	0.001991	-0.002921	0.008043
37613	9.811230	0.175358	-0.268037	0.006704	-0.001270	0.007163
37614	9.811238	0.174799	-0.268100	0.005599	0.000199	0.003896
37615	9.805404	0.150464	-0.243991	0.003940	-0.002910	0.005242
37616	9.787873	0.172481	-0.275385	0.005414	-0.001327	0.005434
37617	9.812374	0.148894	-0.267740	0.003905	-0.001369	0.005215
37618	9.820465	0.123558	-0.290265	0.005563	0.001740	0.003869
37619	9.782052	0.147114	-0.251327	0.000701	-0.002977	0.006315
37620	9.789022	0.145916	-0.274782	0.009653	0.001897	0.007546
37621	9.810175	0.195438	-0.269414	0.001035	0.001615	0.003212
37622	9.827712	0.172395	-0.238221	0.003685	-0.001352	0.006725
37623	9.811307	0.169975	-0.268683	0.003904	-0.001368	0.005215
37624	9.810203	0.193841	-0.269538	0.002324	0.001673	0.004941
37625	9.803255	0.193775	-0.246058	0.003649	0.000189	0.006698
37626	9.809122	0.216895	-0.270306	0.003429	0.000205	0.008208
37627	9.803282	0.192532	-0.245961	0.002764	0.001640	0.001921
37628	9.816108	0.215415	-0.293609	0.006704	-0.001269	0.007163
37629	9.818334	0.165912	-0.291934	0.001920	0.000164	0.007989
37630	9.825586	0.216346	-0.240021	0.003904	-0.001368	0.005215
37631	9.786911	0.188322	-0.276466	0.003869	0.000173	0.005188
37632	9.811398	0.164660	-0.268657	0.003649	0.000190	0.006698
37633	9.842842	0.140545	-0.284318	0.004124	-0.001385	0.003705
37634	9.782170	0.138675	-0.251523	0.005854	-0.001360	0.002413
37635	9.782178	0.138245	-0.251438	0.000561	0.003190	0.006205
37636	9.819489	0.137942	-0.291140	0.002360	0.000132	0.004969
37637	9.819496	0.137422	-0.291128	0.005379	0.000214	0.005406
37638	9.782201	0.136645	-0.251404	0.003938	-0.002909	0.005243
37639	9.804486	0.161858	-0.245495	0.005599	0.000198	0.003896
37640	9.803401	0.185699	-0.246438	0.003684	-0.001351	0.006726
37641	9.818423	0.159666	-0.292412	0.003869	0.000173	0.005187
37642	9.802331	0.208811	-0.247523	0.003498	-0.002875	0.008264
37643	9.810393	0.183372	-0.269951	0.005716	0.004804	0.002302
37644	9.778979	0.206533	-0.254355	0.003753	-0.004433	0.006781
37645	9.802365	0.207157	-0.247570	0.003615	0.001732	0.006670
37646	9.795416	0.207091	-0.224240	0.005448	-0.002868	0.005462
37647	9.833802	0.182391	-0.263361	0.003870	0.000174	0.005187
37648	9.780100	0.179825	-0.253804	0.005379	0.000214	0.005406
37649	9.811527	0.155590	-0.269374	0.003650	0.000191	0.006698
37650	9.818497	0.154451	-0.292757	0.003870	0.000174	0.005187
37651	9.804586	0.154951	-0.245956	0.003650	0.000191	0.006698
37652	9.812626	0.129358	-0.268673	0.003752	-0.004433	0.006782
37653	9.811555	0.153122	-0.269778	0.005379	0.000214	0.005406
37654	9.804606	0.153143	-0.246296	0.003836	0.001715	0.005159
37655	9.788200	0.150706	-0.276526	0.005160	0.000232	0.006916
37656	9.811585	0.151380	-0.269664	0.003903	-0.001367	0.005215
37657	9.788218	0.149482	-0.276574	0.006636	0.001813	0.007107
37658	9.826958	0.176353	-0.240141	0.003870	0.000174	0.005187
37659	9.756835	0.171990	-0.260976	0.005413	-0.001327	0.005434
37660	9.816448	0.197425	-0.294886	0.002800	0.000098	0.001948
37661	9.802541	0.198115	-0.248013	0.003616	0.001733	0.006669
37662	9.826989	0.174347	-0.240328	0.003751	-0.004432	0.006783
37663	9.785079	0.219388	-0.279589	0.003870	0.000174	0.005187
37664	9.796668	0.172449	-0.224136	0.003683	-0.001349	0.006726
37665	9.818996	0.197600	-0.218184	0.001070	0.000076	0.003239
37666	9.827018	0.172239	-0.240667	0.003870	0.000174	0.005187
37667	9.803648	0.170463	-0.247655	0.002393	-0.001407	0.004997
37668	9.794191	0.167474	-0.301506	0.003683	-0.001349	0.006726
37669	9.818625	0.143781	-0.293893	0.002427	-0.002948	0.005026
37670	9.803666	0.168702	-0.248150	0.005160	0.000232	0.006916
37671	9.829154	0.120614	-0.239323	0.003837	0.001715	0.005158
37672	9.764937	0.140107	-0.284303	0.003870	0.000174	0.005187
