// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43FA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
02267	9.442910	0.080197	-2.406390	0.000761	0.002498	-0.002439	0.217194	0.114996	0.969331	0.443353	-0.896320	0.006994	0.869635	0.428236	-0.245659
02268	9.459498	0.062216	-2.407039	0.001734	0.003279	0.002390	0.217210	0.114977	0.969330	0.443360	-0.896317	0.006967	0.869628	0.428248	-0.245665
02269	9.404900	0.075817	-2.360007	-0.000897	0.002011	-0.000382	0.217222	0.114987	0.969326	0.443351	-0.896321	0.006973	0.869629	0.428237	-0.245680
02270	9.433892	0.072675	-2.426929	-0.001470	0.004282	0.000845	0.217223	0.114974	0.969327	0.443335	-0.896329	0.006966	0.869637	0.428223	-0.245675
02271	9.444306	0.047258	-2.394325	-0.000030	0.003650	0.000813	0.217226	0.114967	0.969327	0.443331	-0.896331	0.006959	0.869638	0.428221	-0.245675
02272	9.426794	0.097905	-2.403901	-0.001469	0.004282	0.000845	0.217227	0.114955	0.969328	0.443315	-0.896339	0.006952	0.869646	0.428207	-0.245670
02273	9.470257	0.036767	-2.373063	-0.001576	0.005140	-0.002789	0.217202	0.114973	0.969332	0.443305	-0.896343	0.006983	0.869657	0.428193	-0.245656
02274	9.443522	0.080176	-2.403989	0.001410	0.003019	0.000781	0.217210	0.114969	0.969331	0.443315	-0.896339	0.006973	0.869651	0.428204	-0.245661
02275	9.434363	0.072832	-2.425090	0.000761	0.002498	-0.002439	0.217209	0.114996	0.969328	0.443325	-0.896334	0.006995	0.869645	0.428208	-0.245672
02276	9.405524	0.075981	-2.357511	0.000837	0.005289	0.002009	0.217204	0.114970	0.969332	0.443326	-0.896333	0.006973	0.869646	0.428216	-0.245657
02277	9.460308	0.062132	-2.403856	-0.000030	0.003650	0.000813	0.217208	0.114963	0.969332	0.443323	-0.896335	0.006966	0.869647	0.428214	-0.245656
02278	9.428435	0.065276	-2.390852	0.001086	0.002758	-0.000829	0.217212	0.114973	0.969330	0.443332	-0.896330	0.006971	0.869641	0.428221	-0.245665
